Group,Name,RGBA,RGB,HEX
Pinks,MediumVioletRed,"(199, 21, 133, 255)","(199, 21, 133)",#C71585
Pinks,DeepPink,"(255, 20, 147, 255)","(255, 20, 147)",#FF1493
Pinks,PaleVioletRed,"(219, 112, 147, 255)","(219, 112, 147)",#DB7093
Pinks,HotPink,"(255, 105, 180, 255)","(255, 105, 180)",#FF69B4
Pinks,LightPink,"(255, 182, 193, 255)","(255, 182, 193)",#FFB6C1
Pinks,Pink,"(255, 192, 203, 255)","(255, 192, 203)",#FFC0CB
Reds,DarkRed,"(139, 0, 0, 255)","(139, 0, 0)",#8B0000
Reds,Red,"(255, 0, 0, 255)","(255, 0, 0)",#FF0000
Reds,Firebrick,"(178, 34, 34, 255)","(178, 34, 34)",#B22222
Reds,Crimson,"(220, 20, 60, 255)","(220, 20, 60)",#DC143C
Reds,IndianRed,"(205, 92, 92, 255)","(205, 92, 92)",#CD5C5C
Reds,LightCoral,"(240, 128, 128, 255)","(240, 128, 128)",#F08080
Reds,Salmon,"(250, 128, 114, 255)","(250, 128, 114)",#FA8072
Reds,DarkSalmon,"(233, 150, 122, 255)","(233, 150, 122)",#E9967A
Reds,LightSalmon,"(255, 160, 122, 255)","(255, 160, 122)",#FFA07A
Oranges,OrangeRed,"(255, 69, 0, 255)","(255, 69, 0)",#FF4500
Oranges,Tomato,"(255, 99, 71, 255)","(255, 99, 71)",#FF6347
Oranges,DarkOrange,"(255, 140, 0, 255)","(255, 140, 0)",#FF8C00
Oranges,Coral,"(255, 127, 80, 255)","(255, 127, 80)",#FF7F50
Oranges,Orange,"(255, 165, 0, 255)","(255, 165, 0)",#FFA500
Yellows,DarkKhaki,"(189, 183, 107, 255)","(189, 183, 107)",#BDB76B
Yellows,Gold,"(255, 215, 0, 255)","(255, 215, 0)",#FFD700
Yellows,Khaki,"(240, 230, 140, 255)","(240, 230, 140)",#F0E68C
Yellows,PeachPuff,"(255, 218, 185, 255)","(255, 218, 185)",#FFDAB9
Yellows,Yellow,"(255, 255, 0, 255)","(255, 255, 0)",#FFFF00
Yellows,PaleGoldenrod,"(238, 232, 170, 255)","(238, 232, 170)",#EEE8AA
Yellows,Moccasin,"(255, 228, 181, 255)","(255, 228, 181)",#FFE4B5
Yellows,PapayaWhip,"(255, 239, 213, 255)","(255, 239, 213)",#FFEFD5
Yellows,LightGoldenrodYellow,"(250, 250, 210, 255)","(250, 250, 210)",#FAFAD2
Yellows,LemonChiffon,"(255, 250, 205, 255)","(255, 250, 205)",#FFFACD
Yellows,LightYellow,"(255, 255, 224, 255)","(255, 255, 224)",#FFFFE0
Browns,Maroon,"(128, 0, 0, 255)","(128, 0, 0)",#800000
Browns,Brown,"(165, 42, 42, 255)","(165, 42, 42)",#A52A2A
Browns,SaddleBrown,"(139, 69, 19, 255)","(139, 69, 19)",#8B4513
Browns,Sienna,"(160, 82, 45, 255)","(160, 82, 45)",#A0522D
Browns,Chocolate,"(210, 105, 30, 255)","(210, 105, 30)",#D2691E
Browns,DarkGoldenrod,"(184, 134, 11, 255)","(184, 134, 11)",#B8860B
Browns,Peru,"(205, 133, 63, 255)","(205, 133, 63)",#CD853F
Browns,RosyBrown,"(188, 143, 143, 255)","(188, 143, 143)",#BC8F8F
Browns,Goldenrod,"(218, 165, 32, 255)","(218, 165, 32)",#DAA520
Browns,SandyBrown,"(244, 164, 96, 255)","(244, 164, 96)",#F4A460
Browns,Tan,"(210, 180, 140, 255)","(210, 180, 140)",#D2B48C
Browns,Burlywood,"(222, 184, 135, 255)","(222, 184, 135)",#DEB887
Browns,Wheat,"(245, 222, 179, 255)","(245, 222, 179)",#F5DEB3
Browns,NavajoWhite,"(255, 222, 173, 255)","(255, 222, 173)",#FFDEAD
Browns,Bisque,"(255, 228, 196, 255)","(255, 228, 196)",#FFE4C4
Browns,BlanchedAlmond,"(255, 235, 205, 255)","(255, 235, 205)",#FFEBCD
Browns,Cornsilk,"(255, 248, 220, 255)","(255, 248, 220)",#FFF8DC
Greens,DarkGreen,"(0, 100, 0, 255)","(0, 100, 0)",#006400
Greens,Green,"(0, 128, 0, 255)","(0, 128, 0)",#008000
Greens,DarkOliveGreen,"(85, 107, 47, 255)","(85, 107, 47)",#556B2F
Greens,ForestGreen,"(34, 139, 34, 255)","(34, 139, 34)",#228B22
Greens,SeaGreen,"(46, 139, 87, 255)","(46, 139, 87)",#2E8B57
Greens,Olive,"(128, 128, 0, 255)","(128, 128, 0)",#808000
Greens,OliveDrab,"(107, 142, 35, 255)","(107, 142, 35)",#6B8E23
Greens,MediumSeaGreen,"(60, 179, 113, 255)","(60, 179, 113)",#3CB371
Greens,LimeGreen,"(50, 205, 50, 255)","(50, 205, 50)",#32CD32
Greens,Lime,"(0, 255, 0, 255)","(0, 255, 0)",#00FF00
Greens,SpringGreen,"(0, 255, 127, 255)","(0, 255, 127)",#00FF7F
Greens,MediumSpringGreen,"(0, 250, 154, 255)","(0, 250, 154)",#00FA9A
Greens,DarkSeaGreen,"(143, 188, 143, 255)","(143, 188, 143)",#8FBC8F
Greens,MediumAquamarine,"(102, 205, 170, 255)","(102, 205, 170)",#66CDAA
Greens,YellowGreen,"(154, 205, 50, 255)","(154, 205, 50)",#9ACD32
Greens,LawnGreen,"(124, 252, 0, 255)","(124, 252, 0)",#7CFC00
Greens,Chartreuse,"(127, 255, 0, 255)","(127, 255, 0)",#7FFF00
Greens,LightGreen,"(144, 238, 144, 255)","(144, 238, 144)",#90EE90
Greens,GreenYellow,"(173, 255, 47, 255)","(173, 255, 47)",#ADFF2F
Greens,PaleGreen,"(152, 251, 152, 255)","(152, 251, 152)",#98FB98
Cyans,Teal,"(0, 128, 128, 255)","(0, 128, 128)",#008080
Cyans,DarkCyan,"(0, 139, 139, 255)","(0, 139, 139)",#008B8B
Cyans,LightSeaGreen,"(32, 178, 170, 255)","(32, 178, 170)",#20B2AA
Cyans,CadetBlue,"(95, 158, 160, 255)","(95, 158, 160)",#5F9EA0
Cyans,DarkTurquoise,"(0, 206, 209, 255)","(0, 206, 209)",#00CED1
Cyans,MediumTurquoise,"(72, 209, 204, 255)","(72, 209, 204)",#48D1CC
